beer;beer;cerveza;bier;öl;bira;bier;cerveja;bière;birra;piwo;pivo;
ale;ale;cerveza inglesa;ale;ale;bira;ale;cerveja;ale;ale;ale;ale;
altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;
amber ale;amber ale;ámbar ale;amber ale;amber ale;amber ale;amber ale;âmbar cerveja;ale ambre;ambra ale;amber piwo;amber pivo;
berliner weisse;berliner weisse;weisse berliner;berliner weisse;berliner weisse;berliner weisse;berliner weiße;berliner weisse;berliner weisse;berliner weisse;berliner weisse;berliner weisse;
bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;
bitter;bitter;amargo;bitter;bitter;ac?;bitter;amargo;amer;amaro;gorzki;ho?ký;
blonde ale;blonde ale;blonde ale;blond ale;blonde ale;sar???n ale;blonde ale;ale loira;ale blonde;ale blonde;blond ale;blonde ale;
bock;bock;bock;bock;bock;siyah bira;bock;cerveja forte escura;bock;bock;bock;bock;
brown ale;brown ale;ale brown;brown ale;brown ale;brown ale;malzbier;ale brown;bière brune;ale brown;brown ale;brown pivo;
california common;california common;california common;california common;kalifornien gemensamma;california ortak;gemeinsame kalifornien;califórnia comum;californie commune;california common;california common;california common;
cream ale;cream ale;ale cream;cream ale;grädde ale;krem ale;creme ale;creme ale;cream ale;cream ale;ale krem;krém ale;
doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;
dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder ihracat;dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder export;
dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;
dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;
eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;
golden ale;golden ale;golden ale;golden ale;golden ale;alt?n ale;goldene ale;ale dourada;or ale;oro ale;ale z?oty;golden ale;
gose;gose;gose;gose;gose;gose;gose;gose;gose;gose;gose;gose;
gueuze;gueuze;gueuze;geuze;gueuze;gueuze'si;gueuze;gueuze;gueuze;gueuze;gueuze;gueuze;
hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;
helles;helles;helles;helles;helles;helles;helles;helles;helles;helles;helles;helles;
india pale ale;india pale ale;india pale ale;india pale ale;indien pale ale;hindistan soluk ale;india pale ale;india pale ale;india pale ale;india pale ale;india pale ale;indie sv?tlé pivo;
kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;kölsch;
lager;lager;lager;lager;lager;alman biras?;lagerbier;lager;lager;birra chiara;lager;lager;
lambic;lambic;lambic;lambic;lambic;lambic;lambic;lambic;lambic;lambic;lambic;lambic;
light ale;light ale;cerveza inglesa ligera;licht ale;ljus ale;light bira;licht ale;ale luz;ale lumière;ale luce;ale ?wiat?o;lehké pivo;
maerzen;maerzen;maerzen;maerzen;maerzen;maerzen;märzen;maerzen;maerzen;maerzen;maerzen;maerzen;
maibock;maibock;maibock;maibock;maibock;maibock;maibock;maibock;maibock;maibock;maibock;maibock;
malt liquor;malt liquor;licor de malta;malt liquor;malt liquor;malt likör;starkbier;licor de malte;liqueur de malt;liquore di malto;trunek s?ód;alkoholický nápoj;
helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;helles bock;
märzenbier;märzenbier;märzenbier;marzenbier;märzenbier;märzenbier;märzen;marzenbier;marzenbier;märzenbier;märzenbier;märzenbier;
mild;mild;leve;mild;mild;hafif;mild;suave;doux;mite;?agodny;mírný;
old ale;old ale;antiguo ale;old ale;old ale;eski ale;old ale;ale velho;vieille bière;old ale;stary ale;staré pivo;
oud bruin;oud bruin;bruin oud;oud bruin;oud bruin;oud bruin;oud bruin;bruin oud;oud bruin;bruin oud;oud bruin;oud bruin;
pale ale;pale ale;pale ale;pale ale;pale ale;soluk ale;pale ale;pale ale;pale ale;pale ale;pale ale;sv?tlé pivo;
pilsner;pilsner;pilsner;pilsner;pilsner;pilsen;pilsner;pilsner;pilsner;pilsner;pilsner;plze?ský;
pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;pilsener;
porter;porter;portero;porter;porter;hamal;portier;porteiro;portier;portiere;porter;vrátný;
red ale;red ale;ale red;red ale;röd ale;k?rm?z? ale;red ale;cerveja red;rousse;ale red;czerwone piwo;red pivo;
roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;roggenbier;
saison;saison;saison;saison;saison;saison;saison;saison;saison;saison;saison;sezóna;
schwarzbier;schwarzbier;schwarzbier;schwarzbier;schwarz;schwarzbier;schwarzbier;schwarzbier;schwarzbier;schwarzbier;schwarzbier;schwarzbier;
scotch ale;scotch ale;ale scotch;scotch ale;scotch ale;scotch ale;scotch ale;scotch ale;scotch ale;scotch ale;scotch ale;scotch pivo;
steam beer;steam beer;cerveza steam;steam bier;steam öl;buhar bira;dampfbier;cerveja vapor;bière à vapeur;birra steam;piwo parowa;parní pivo;
stout;stout;cerveza negra;stout;stout;?i?man;stout;corpulento;stout;corpulento;t?gi;stout;
vienna lager;vienna lager;vienna lager;wenen pils;wien lageröl;viyana lager;wien lager;viena lager;vienne lager;vienna lager;vienna lager;vienna lager;
weissbier;weissbier;weissbier;weissbier;weissbier;weissbier;weißbier;weissbier;weissbier;weissbier;weissbier;weissbier;
weizenbock;weizenbock;weizenbock;weizenbock;weizenbock;weizenböck;weizenbock;weizenbock;weizenbock;weizenbock;weizenbock;weizenbock;
wheat beer;wheat beer;cerveza de trigo;gerstebier;veteöl;bu?day biras?;weizenbier;cerveja de trigo;la bière de blé;birra di frumento;pszenicy piwo;pšeni?né pivo;
white beer;white beer;cerveza blanca;witbier;vit öl;beyaz bira;weiß bier;cerveja branco;bière blanche;birra bianca;bia?e piwo;bílé pivo;
wine;wine;wijn;vin;?arap;vino;wein;vinho;vin;vino;wino;víno;
cider;cider;cider;cider;elma ?arab?;sidra;most;cidra;cidre;sidro;jab?ecznik;jable?ný mošt;
sake;sake;sake;sake;hat?r;bien;sake;causa;saké;amor;wzgl?d;saké;
rose;rose;roze;rose;gül;rose;rose;rose;rose;rose;rose;rose;
port;port;haven;port;liman;puerto;port;porto;port;porto;port;p?ístav;
sangria;sangria;sangria;sangria;sangria;sangría;sangria;sangria;sangria;sangria;sangria;sangria;
champagne;champagne;champagne;champagne;?ampanya;champán;champagner;champanhe;champagne;champagne;szampan;šampa?ské;
cava;cava;cava;cava;cava;cava;cava;cava;cava;cava;cava;cava;
prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;prosecco;
sherry;sherry;sherry;sherry;?eri;jerez;sherry;xerez;sherry;sherry;sherry;sherry;
vermouth;vermouth;vermout;vermouth;vermut;vermut;wermut;vermute;vermouth;vermut;wermut;vermut;
chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;chardonnay;
cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;cabernet sauvignon;
sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;sauvignon blanc;
pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;pinot noir;
syrah;syrah;syrah;syrah;syrah;syrah;syrah;syrah;syrah;syrah;syrah;syrah;
merlot;merlot;merlot;merlot;merlot;merlot;merlot;merlot;merlot;merlot;merlot;merlot;
grenache;grenache;grenache;grenache;grenache;garnacha;grenache;grenache;grenache;grenache;grenache;grenache;
sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;sangiovese;
riesling;riesling;riesling;riesling;riesling;riesling;riesling;riesling;riesling;riesling;riesling;ryzlink rýnský;
gamay;gamay;gamay;gamay;gamay;gamay;gamay;gamay;gamay;gamay;gamay;gamay;
semillon;semillon;semillon;semillon;semillon;semillon;semillon;semillon;sémillon;semillon;semillon;semillon;
pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;pinot gris;
liquor;liquor;drank;systembolag;içki;licor;schnaps;licor;alcool;liquore;trunek;alkohol;
vodka;vodka;wodka;vodka;votka;vodka;wodka;vodka;vodka;vodka;wódka;vodka;
whisky;whisky;whisky;whisky;whisky;whisky;whisky;whisky;whisky;whisky;whisky;whisky;
whiskey;whiskey;whisky;whisky;viski;whisky;whisky;uísque;whisky;whisky;whisky;whisky;
gin;gin;jenever;gin;cin;ginebra;gin;gin;gin;gin;gin;gin;
ouzo;ouzo;ouzo;ouzo;uzo;ouzo;ouzo;ouzo;ouzo;ouzo;ouzo;ouzo;
absinthe;absinthe;absint;absinthe;pelin;ajenjo;absinth;absinto;absinthe;assenzio;absynt;absint;
rum;rum;rum;rom;rom;ron;rum;rum;rhum;rum;rum;rum;
brandy;brandy;brandewijn;brandy;brendi;brandy;brandy;brandy;brandy;brandy;brandy;brandy;
genever;genever;genever;genever;genever;genever;genever;genever;genièvre;genever;genever;genever;
cognac;cognac;cognac;konjak;konyak;coñac;cognac;conhaque;cognac;cognac;koniak;ko?ak;
jagermeister;jagermeister;jagermeister;jagermeister;jagermeister'?n;jagermeister;jägermeister;jagermeister;jagermeister;jagermeister;jagermeister;jagermeister;
tequila;tequila;tequila;tequila;tekila;tequila;tequila;tequila;tequila;tequila;tequila;tequila;
limoncello;limoncello;limoncello;cello;limoncello;limoncello;limoncello;limoncello;limoncello;limoncello;limoncello;limoncello;
pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;pisang ambon;
sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;sambuca;
cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;cachaça;
grappa;grappa;grappa;grappa;grappa;grappa;grappa;grappa;grappa;grappa;grappa;grappa;
absinth;absinth;absint;absinth;pelin;ajenjo;absinth;absinto;absinthe;assenzio;absynt;absinth;
cachaca;cachaca;cachaca;cachaça;cachaça;cachaca;cachaca;cachaça;cachaça;cachaca;cachaça;cachaca;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
